时间戳,IP地址,事件类型,安全级别,详细信息
2024-01-01 08:30:15,192.168.1.100,登录尝试,警告,多次失败的登录尝试
2024-01-01 09:15:22,192.168.1.105,防火墙,高危,检测到端口扫描活动
2024-01-01 10:45:33,192.168.1.120,系统更新,信息,成功完成安全补丁安装
2024-01-01 11:20:45,192.168.1.110,恶意软件,严重,检测到勒索软件活动
2024-01-01 12:00:01,192.168.1.115,访问控制,警告,未授权访问尝试
2024-01-01 13:30:19,192.168.1.125,网络流量,高危,检测到异常流量模式
2024-01-01 14:45:30,192.168.1.130,数据传输,信息,敏感文件访问记录
2024-01-01 15:20:00,192.168.1.140,入侵检测,严重,检测到SQL注入攻击
2024-01-01 16:10:25,192.168.1.150,系统性能,警告,CPU使用率异常升高
2024-01-01 17:00:00,192.168.1.160,用户活动,信息,管理员权限变更
